Code INS,Type d'entité,Entité administrative,Total population,Nombre d'hommes,Nombre de femmes,Part d'hommes,Part de femmes,Hommes de 0-17 ans,Hommes de 18-24 ans,Hommes de 25-49 ans,Hommes de 50-64 ans,Hommes de 65 ans +,Femmes de 0-17 ans,Femmes de 18-24 ans,Femmes de 25-49 ans,Femmes de 50-64 ans,Femmes de 65 ans +
3000,Région,Wallonie,3704990,1814858,1890132,48.98,51.02,376599,161595,583286,366526,326852,359663,154659,581583,372466,421761
20002,Province,Brabant Wallon,415381,201342,214039,48.47,51.53,41341,18667,61979,41116,38239,39871,17580,63881,43167,49540
25000,Arrondissement,Nivelles,415381,201342,214039,48.47,51.53,41341,18667,61979,41116,38239,39871,17580,63881,43167,49540
25005,Commune,Beauvechain,7242,3570,3672,49.3,50.7,751,323,1016,804,676,714,308,1055,780,815
25014,Commune,Braine-l'Alleud,40756,19554,21202,47.98,52.02,3854,1820,6002,4034,3844,3774,1712,6290,4336,5090
25015,Commune,Braine-le-Château,10638,5215,5423,49.02,50.98,1073,440,1598,1137,967,1066,443,1588,1147,1179
25018,Commune,Chaumont-Gistoux,11894,5808,6086,48.83,51.17,1095,539,1629,1343,1202,1141,504,1701,1382,1358
25023,Commune,Court-Saint-Étienne,10927,5366,5561,49.11,50.89,1121,530,1679,1119,917,1055,469,1691,1158,1188
25031,Commune,Genappe,16160,7972,8188,49.33,50.67,1749,695,2518,1612,1398,1643,648,2576,1691,1630
25037,Commune,Grez-Doiceau,14014,6830,7184,48.74,51.26,1415,593,2012,1423,1387,1390,564,2097,1498,1635
25043,Commune,Incourt,5658,2805,2853,49.58,50.42,623,225,860,623,474,577,224,897,601,554
25044,Commune,Ittre,6963,3398,3565,48.8,51.2,736,267,1023,736,636,660,290,1065,732,818
25048,Commune,Jodoigne,14935,7269,7666,48.67,51.33,1565,665,2285,1491,1263,1477,595,2336,1545,1713
25050,Commune,La Hulpe,7482,3592,3890,48.01,51.99,742,330,977,771,772,670,318,1035,829,1038
25068,Commune,Mont-Saint-Guibert,8451,4149,4302,49.09,50.91,875,397,1437,784,656,822,375,1418,831,856
25072,Commune,Nivelles,29429,13996,15433,47.56,52.44,2672,1166,4690,2708,2760,2658,1156,4833,2882,3904
25084,Commune,Perwez,9844,4757,5087,48.32,51.68,976,431,1594,934,822,1024,375,1619,1005,1064
25091,Commune,Rixensart,23052,11017,12035,47.79,52.21,2335,1013,3058,2248,2363,2175,989,3278,2465,3128
25105,Commune,Tubize,28716,13959,14757,48.61,51.39,3133,1251,4416,2860,2299,3116,1188,4677,2782,2994
25107,Commune,Villers-la-Ville,11059,5478,5581,49.53,50.47,1199,469,1716,1143,951,1129,437,1783,1104,1128
